level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	20	1	1	0	1372	913	23	24	-1	
5	1	20	1	1	1	1372	913	23	24	95.000000	 
2	1	21	0	0	0	53	925	502	96	-1	
3	1	21	1	0	0	53	925	502	96	-1	
4	1	21	1	1	0	53	925	305	11	-1	
5	1	21	1	1	1	53	925	8	9	0.000000	X_
5	1	21	1	1	2	73	925	35	9	95.725449	Check
5	1	21	1	1	3	112	925	34	9	96.074715	failure
5	1	21	1	1	4	151	927	12	7	96.739433	on
5	1	21	1	1	5	168	925	19	9	92.347923	line
5	1	21	1	1	6	191	925	6	9	96.961792	6
5	1	21	1	1	7	202	927	9	7	91.999977	in
5	1	21	1	1	8	216	925	142	11	77.590248	src/components/Input.tsx
4	1	21	1	2	0	75	950	277	16	-1	
5	1	21	1	2	1	75	950	16	16	53.457764	©)
5	1	21	1	2	2	102	952	46	11	96.779976	GitHub
5	1	21	1	2	3	152	952	51	11	93.154518	Actions
5	1	21	1	2	4	207	952	4	14	92.363335	/
5	1	21	1	2	5	215	952	137	14	92.363335	design-memory-gate
4	1	21	1	3	0	74	981	247	14	-1	
5	1	21	1	3	1	74	981	45	14	95.123367	Design
5	1	21	1	3	2	124	982	58	13	93.305016	Memory:
5	1	21	1	3	3	187	981	92	11	92.864899	color.raw-hex
5	1	21	1	3	4	284	981	37	14	95.112534	(new)
4	1	21	1	4	0	74	1008	481	13	-1	
5	1	21	1	4	1	74	1008	83	13	25.438814	bg-[#dc2626]
5	1	21	1	4	2	167	1013	7	2	90.888298	-
5	1	21	1	4	3	182	1008	50	13	93.252289	Replace
5	1	21	1	4	4	240	1008	83	13	74.783646	bg-[#dc2626]
5	1	21	1	4	5	333	1008	28	10	93.231483	with
5	1	21	1	4	6	370	1008	49	13	92.256729	bg-text
5	1	21	1	4	7	429	1008	41	11	93.295250	(token
5	1	21	1	4	8	478	1008	77	11	92.104431	color.text)
2	1	22	0	0	0	116	1052	299	13	-1	
3	1	22	1	0	0	116	1052	299	13	-1	
4	1	22	1	1	0	116	1052	299	13	-1	
5	1	22	1	1	1	116	1053	32	10	89.815674	7+
5	1	22	1	1	2	214	1052	56	13	86.251236	style={{
5	1	22	1	1	3	279	1052	40	10	92.971977	color:
5	1	22	1	1	4	331	1052	60	10	48.643333	'#b9icic'
5	1	22	1	1	5	402	1052	13	11	80.284142	}}
2	1	23	0	0	0	53	1089	304	11	-1	
3	1	23	1	0	0	53	1089	304	11	-1	
4	1	23	1	1	0	53	1089	304	11	-1	
5	1	23	1	1	1	53	1089	55	9	18.410378	Check
